permno,date,ret,prc,vol,shrout,cfacpr,cfacshr,ticker,adj_prc,adj_ret,adj_vol,adj_shrout,mktcap
86211,2018-02-16,-0.002176,137.55,68588.0,9412.0,10.0,10.0,MSTR,13.755,-0.002176,68588.0,94120.0,1294620.6
86211,2018-02-20,0.003199,137.99001,52207.0,9412.0,10.0,10.0,MSTR,13.799001,0.003199,52207.0,94120.0,1298761.9741200001
86211,2018-02-21,-0.008841,136.77,102155.0,9412.0,10.0,10.0,MSTR,13.677000000000001,-0.008841,102155.0,94120.0,1287279.2400000002
86211,2018-02-22,0.004387,137.37,64687.0,9412.0,10.0,10.0,MSTR,13.737,0.004387,64687.0,94120.0,1292926.44
86211,2018-02-23,0.004441,137.98,40438.0,9412.0,10.0,10.0,MSTR,13.797999999999998,0.004441,40438.0,94120.0,1298667.7599999998
86211,2018-02-26,-0.002102,137.69,61516.0,9412.0,10.0,10.0,MSTR,13.769,-0.002102,61516.0,94120.0,1295938.28
86211,2018-02-27,-0.018375,135.16,86176.0,9412.0,10.0,10.0,MSTR,13.516,-0.018375,86176.0,94120.0,1272125.92
86211,2018-02-28,-0.053122,127.98,178561.0,9412.0,10.0,10.0,MSTR,12.798,-0.053122,178561.0,94120.0,1204547.76
86211,2018-03-01,-0.032114,123.87,223505.0,9412.0,10.0,10.0,MSTR,12.387,-0.032114,223505.0,94120.0,1165864.44
86211,2018-03-02,0.012594,125.43,191157.0,9412.0,10.0,10.0,MSTR,12.543000000000001,0.012594,191157.0,94120.0,1180547.1600000001
86211,2018-03-05,0.069441,134.14,203427.0,9412.0,10.0,10.0,MSTR,13.413999999999998,0.069441,203427.0,94120.0,1262525.6799999997
86211,2018-03-06,-0.007008,133.2,115050.0,9412.0,10.0,10.0,MSTR,13.319999999999999,-0.007008,115050.0,94120.0,1253678.4
86211,2018-03-07,0.000375,133.25,102088.0,9412.0,10.0,10.0,MSTR,13.325,0.000375,102088.0,94120.0,1254149.0
86211,2018-03-08,0.007205,134.21001,82321.0,9412.0,10.0,10.0,MSTR,13.421001,0.007205,82321.0,94120.0,1263184.61412
86211,2018-03-09,0.015349,136.27,108222.0,9412.0,10.0,10.0,MSTR,13.627,0.015349,108222.0,94120.0,1282573.24
86211,2018-03-12,-0.001468,136.07001,80065.0,9412.0,10.0,10.0,MSTR,13.607001,-0.001468,80065.0,94120.0,1280690.93412
86211,2018-03-13,-0.00757,135.03999,112027.0,9412.0,10.0,10.0,MSTR,13.503998999999999,-0.00757,112027.0,94120.0,1270996.38588
86211,2018-03-14,-0.011922,133.42999,47538.0,9412.0,10.0,10.0,MSTR,13.342999,-0.011922,47538.0,94120.0,1255843.0658800001
86211,2018-03-15,-0.00045,133.37,97289.0,9412.0,10.0,10.0,MSTR,13.337,-0.00045,97289.0,94120.0,1255278.44
86211,2018-03-16,-0.012072,131.75999,123044.0,9412.0,10.0,10.0,MSTR,13.175999,-0.012072,123044.0,94120.0,1240125.0258799999
86211,2018-03-19,-0.006906,130.85001,56494.0,9412.0,10.0,10.0,MSTR,13.085001,-0.006906,56494.0,94120.0,1231560.29412
86211,2018-03-20,-0.00107,130.71001,56551.0,9412.0,10.0,10.0,MSTR,13.071001,-0.00107,56551.0,94120.0,1230242.61412
86211,2018-03-21,0.000153,130.73,37671.0,9412.0,10.0,10.0,MSTR,13.072999999999999,0.000153,37671.0,94120.0,1230430.7599999998
86211,2018-03-22,0.000994,130.86,143965.0,9412.0,10.0,10.0,MSTR,13.086000000000002,0.000994,143965.0,94120.0,1231654.3200000003
86211,2018-03-23,-0.008329,129.77,141557.0,9412.0,10.0,10.0,MSTR,12.977,-0.008329,141557.0,94120.0,1221395.24
86211,2018-03-26,0.007166,130.7,64409.0,9412.0,10.0,10.0,MSTR,13.069999999999999,0.007166,64409.0,94120.0,1230148.4
86211,2018-03-27,-0.017445,128.42,91701.0,9412.0,10.0,10.0,MSTR,12.841999999999999,-0.017445,91701.0,94120.0,1208689.0399999998
