PERMNO,date,TICKER,COMNAM,CFACPR
93002,2020-07-13,AVGO,BROADCOM INC,10
93002,2020-07-14,AVGO,BROADCOM INC,10
93002,2020-07-15,AVGO,BROADCOM INC,10
93002,2020-07-16,AVGO,BROADCOM INC,10
93002,2020-07-17,AVGO,BROADCOM INC,10
93002,2020-07-20,AVGO,BROADCOM INC,10
93002,2020-07-21,AVGO,BROADCOM INC,10
93002,2020-07-22,AVGO,BROADCOM INC,10
93002,2020-07-23,AVGO,BROADCOM INC,10
93002,2020-07-24,AVGO,BROADCOM INC,10
93002,2020-07-27,AVGO,BROADCOM INC,10
93002,2020-07-28,AVGO,BROADCOM INC,10
93002,2020-07-29,AVGO,BROADCOM INC,10
93002,2020-07-30,AVGO,BROADCOM INC,10
93002,2020-07-31,AVGO,BROADCOM INC,10
93002,2020-08-03,AVGO,BROADCOM INC,10
93002,2020-08-04,AVGO,BROADCOM INC,10
93002,2020-08-05,AVGO,BROADCOM INC,10
93002,2020-08-06,AVGO,BROADCOM INC,10
93002,2020-08-07,AVGO,BROADCOM INC,10
93002,2020-08-10,AVGO,BROADCOM INC,10
93002,2020-08-11,AVGO,BROADCOM INC,10
93002,2020-08-12,AVGO,BROADCOM INC,10
93002,2020-08-13,AVGO,BROADCOM INC,10
93002,2020-08-14,AVGO,BROADCOM INC,10
93002,2020-08-17,AVGO,BROADCOM INC,10
93002,2020-08-18,AVGO,BROADCOM INC,10
93002,2020-08-19,AVGO,BROADCOM INC,10
93002,2020-08-20,AVGO,BROADCOM INC,10
93002,2020-08-21,AVGO,BROADCOM INC,10
93002,2020-08-24,AVGO,BROADCOM INC,10
93002,2020-08-25,AVGO,BROADCOM INC,10
93002,2020-08-26,AVGO,BROADCOM INC,10
93002,2020-08-27,AVGO,BROADCOM INC,10
93002,2020-08-28,AVGO,BROADCOM INC,10
93002,2020-08-31,AVGO,BROADCOM INC,10
93002,2020-09-01,AVGO,BROADCOM INC,10
93002,2020-09-02,AVGO,BROADCOM INC,10
93002,2020-09-03,AVGO,BROADCOM INC,10
93002,2020-09-04,AVGO,BROADCOM INC,10
93002,2020-09-08,AVGO,BROADCOM INC,10
93002,2020-09-09,AVGO,BROADCOM INC,10
93002,2020-09-10,AVGO,BROADCOM INC,10
93002,2020-09-11,AVGO,BROADCOM INC,10
93002,2020-09-14,AVGO,BROADCOM INC,10
93002,2020-09-15,AVGO,BROADCOM INC,10
93002,2020-09-16,AVGO,BROADCOM INC,10
93002,2020-09-17,AVGO,BROADCOM INC,10
93002,2020-09-18,AVGO,BROADCOM INC,10
93002,2020-09-21,AVGO,BROADCOM INC,10
93002,2020-09-22,AVGO,BROADCOM INC,10
93002,2020-09-23,AVGO,BROADCOM INC,10
93002,2020-09-24,AVGO,BROADCOM INC,10
93002,2020-09-25,AVGO,BROADCOM INC,10
93002,2020-09-28,AVGO,BROADCOM INC,10
93002,2020-09-29,AVGO,BROADCOM INC,10
93002,2020-09-30,AVGO,BROADCOM INC,10
93002,2020-10-01,AVGO,BROADCOM INC,10
93002,2020-10-02,AVGO,BROADCOM INC,10
93002,2020-10-05,AVGO,BROADCOM INC,10
93002,2020-10-06,AVGO,BROADCOM INC,10
93002,2020-10-07,AVGO,BROADCOM INC,10
93002,2020-10-08,AVGO,BROADCOM INC,10
93002,2020-10-09,AVGO,BROADCOM INC,10
93002,2020-10-12,AVGO,BROADCOM INC,10
93002,2020-10-13,AVGO,BROADCOM INC,10
93002,2020-10-14,AVGO,BROADCOM INC,10
93002,2020-10-15,AVGO,BROADCOM INC,10
93002,2020-10-16,AVGO,BROADCOM INC,10
93002,2020-10-19,AVGO,BROADCOM INC,10
93002,2020-10-20,AVGO,BROADCOM INC,10
93002,2020-10-21,AVGO,BROADCOM INC,10
93002,2020-10-22,AVGO,BROADCOM INC,10
93002,2020-10-23,AVGO,BROADCOM INC,10
93002,2020-10-26,AVGO,BROADCOM INC,10
93002,2020-10-27,AVGO,BROADCOM INC,10
93002,2020-10-28,AVGO,BROADCOM INC,10
93002,2020-10-29,AVGO,BROADCOM INC,10
93002,2020-10-30,AVGO,BROADCOM INC,10
93002,2020-11-02,AVGO,BROADCOM INC,10
93002,2020-11-03,AVGO,BROADCOM INC,10
93002,2020-11-04,AVGO,BROADCOM INC,10
93002,2020-11-05,AVGO,BROADCOM INC,10
93002,2020-11-06,AVGO,BROADCOM INC,10
93002,2020-11-09,AVGO,BROADCOM INC,10
93002,2020-11-10,AVGO,BROADCOM INC,10
93002,2020-11-11,AVGO,BROADCOM INC,10
93002,2020-11-12,AVGO,BROADCOM INC,10
93002,2020-11-13,AVGO,BROADCOM INC,10
93002,2020-11-16,AVGO,BROADCOM INC,10
93002,2020-11-17,AVGO,BROADCOM INC,10
93002,2020-11-18,AVGO,BROADCOM INC,10
