ticker,date,exit_date,exdate,strike,strike_key,signal,alpha_call,alpha_put,call_entry_premium,put_entry_premium,call_exit_premium,put_exit_premium,weighted_entry,weighted_exit,trade_profit_w,trade_return_w
MARA,2023-04-20,2023-05-01,2023-05-19,10.0,10.0,short,0.3627905790484519,0.6372094209515481,1.12,1.685,0.565,1.83,2.805,2.4545386897061845,0.35046131029381566,0.12494164359850825
MSFT,2023-04-20,2023-05-01,2023-05-19,285.0,285.0,short,0.6829989126250996,0.3170010873749004,9.925,8.55,22.225,1.0,18.475,28.94130925119337,-10.466309251193369,-0.5665120027709536
AAPL,2023-04-21,2023-05-02,2023-05-19,165.0,165.0,short,0.5977794222646224,0.40222057773537756,4.95,4.65,6.7,2.87,9.600000000000001,10.150731381219455,-0.5507313812194532,-0.0573678522103597
AAPL,2023-04-21,2023-05-02,2023-05-19,165.0,165.0,short,0.5977794222646224,0.40222057773537756,4.95,4.65,6.7,2.87,9.600000000000001,10.150731381219455,-0.5507313812194532,-0.0573678522103597
AAPL,2023-04-21,2023-05-02,2023-05-26,165.0,165.0,short,0.6731529205022524,0.3268470794977476,5.45,4.975,7.300000000000001,3.25,10.425,11.625673971544714,-1.2006739715447132,-0.1151725632177183
AAPL,2023-04-21,2023-05-02,2023-05-26,165.0,165.0,short,0.6731529205022524,0.3268470794977476,5.45,4.975,7.300000000000001,3.25,10.425,11.625673971544714,-1.2006739715447132,-0.1151725632177183
BABA,2023-04-21,2023-05-02,2023-05-19,90.0,90.0,short,0.3657193793584752,0.6342806206415248,3.75,4.35,0.705,8.95,8.1,11.127532090061187,-3.0275320900611877,-0.3737693938347145
COIN,2023-04-21,2023-05-02,2023-05-19,60.0,60.0,short,0.49591143756978756,0.5040885624302125,6.1,7.1,1.9649999999999999,10.6,13.2,12.04277506944124,1.15722493055876,0.08766855534536061
F,2023-04-21,2023-05-02,2023-05-26,12.0,12.0,short,0.7733559098882268,0.22664409011177322,0.48,0.75,0.52,0.615,1.23,1.2590899792127968,-0.029089979212796768,-0.023650389603899813
GOOGL,2023-04-21,2023-05-02,2023-05-19,105.0,105.0,short,0.8092199459821462,0.1907800540178538,4.45,3.725,3.025,2.37,8.175,5.4892666364992575,2.685733363500743,0.32853007504596243
